Name of Substance,M.F.,M.W.,CAS No.,Physical Description,Type
Humantenmine,C19H22N2O3,326.4,82354-38-9,Powder,Alkaloids
Ajmalicine,C21H24N2O3,352.44,483-04-5,Cryst.,Alkaloids
Vasicinolone,C11H10N2O3,218.21,84847-50-7,Powder,Alkaloids
Sulfocostunolide A,C15H20O5S,312.39,1016983-51-9,Solid,Sesquiterpenoids
Sulfocostunolide B,C15H20O5S,312.39,1059671-65-6,Powder,Sesquiterpenoids
Carabrone,C15H20O3,248.32,1748-81-8,Cryst.,Sesquiterpenoids
Ascleposide E,C19H32O8,388.46,325686-49-5,Powder,Sesquiterpenoids
Humantenine,C21H26N2O3,354.45,82375-29-9,Powder,Alkaloids
(Z)-Akuammidine,C21H24N2O3,352.44,113973-31-2,Cryst.,Alkaloids
Ilicol,C15H26O2,238.37,72715-02-7,Cryst.,Sesquiterpenoids
Santamarine,C15H20O3,248.32,4290-13-5,Powder,Sesquiterpenoids
Vasicine,C11H12N2O,188.23,6159-55-3,Powder,Alkaloids
11(13)-Dehydroivaxillin,C15H20O4,264.32,87441-73-4,Powder,Sesquiterpenoids
"Stigmast-4-ene-3,6-dione",C29H46O2,426.69,23670-94-2,Cryst.,Steroids
"Stigmastane-3,6-dione",C29H48O2,428.7,22149-69-5,Powder,Steroids
Gynuramide II,C42H83NO5,682.13,295803-03-1,Powder,Cerebrosides
 Niloticin,C30H48O3,456.72,115404-57-4,Cryst.,Triterpenoids
6'-O-p-Hydroxybenzoylcatalposide,C29H30O14,602.55,355143-38-3,Powder,Iridoids
6-O-p-Hydroxybenzoylaucubin,C22H26O11,466.45,1016987-87-3,Powder,Iridoids
Simiarenol,C30H50O,426.73,1615-94-7,Powder,Triterpenoids
Eucalyptin,C19H18O5,326.35,3122-88-1,Yellow powder,Flavonoids
Macrocarpal B,C28H40O6,472.63,142698-60-0,Powder,Sesquiterpenoids
Macrocarpal C,C28H38O5,454.61,142628-53-3,Yellow powder,Sesquiterpenoids
Eucalyptone,C28H38O7,486.61,172617-99-1,Yellow powder,Sesquiterpenoids
Sideroxylonal A,C26H28O10,500.51,145382-68-9,Powder,Phenols
Massoniresinol,C20H24O8,392.41,96087-10-4,Powder,Lignans
"3-Acetoxy-11-ursen-28,13-olide",C32H48O4,496.74,35959-08-1,Cryst.,Triterpenoids
"3¦Â-Hydroxyurs-11-en-28,13-olide",C30H46O3,454.7,35959-05-8,Powder,Triterpenoids
Tereticornate A,C40H54O6,630.87,149751-81-5,Powder,Triterpenoids
